1580,3661,19,00:00.0,00:00.0,1,ABBOTT LABS
1580,3662,27,00:00.0,00:00.0,1,ABBOTT LABS
1568,3619,86,00:00.0,00:00.0,1,ABBOTT LABS
2977,7422,116,00:00.0,00:00.0,2,ABBOTT LABS
4535,11707,151,00:00.0,00:00.0,1,ICN CANADA LTD
4020,59742,175,00:00.0,00:00.0,1,ABBOTT LABS
4020,9251,183,00:00.0,00:00.0,1,ABBOTT LABS
1568,11856,213,00:00.0,00:00.0,1,ABBOTT LABS
4018,21205,299,00:00.0,00:00.0,1,AMDIPHARM LIMIT
4021,13590,302,00:00.0,00:00.0,1,ABBOTT LABS
3717,8334,396,00:00.0,00:00.0,2,ABBOTT LABS
4021,9255,434,00:00.0,00:00.0,1,ABBOTT LABS
3655,8195,485,00:00.0,00:00.0,1,ABBOTT LABS
1064,2390,493,00:00.0,00:00.0,7,ABBOTT LABS
4018,9246,604,00:00.0,00:00.0,1,ABBOTT LABS
4591,7806,655,00:00.0,00:00.0,1,ALCON CANADA IN
4591,7808,663,00:00.0,00:00.0,1,ALCON CANADA IN
3465,7870,779,00:00.0,00:00.0,1,ALCON CANADA IN
3465,7871,787,00:00.0,00:00.0,1,ALCON CANADA IN
8840,7932,809,00:00.0,NULL,1,NOVARTIS PHARMA
8840,7933,817,00:00.0,NULL,1,NOVARTIS PHARMA
5198,7820,833,00:00.0,00:00.0,1,ALCON CANADA IN
5198,7822,841,00:00.0,00:00.0,1,NOVARTIS PHARMA
5198,7824,868,00:00.0,NULL,1,NOVARTIS PHARMA
5198,7826,884,00:00.0,NULL,1,NOVARTIS PHARMA
5198,7828,892,00:00.0,00:00.0,1,ALCON CANADA IN
3345,7920,965,00:00.0,00:00.0,1,ALCON CANADA IN
3466,7872,981,00:00.0,NULL,1,ALCON CANADA IN
1694,4082,1000,00:00.0,00:00.0,1,PHARMASCIENCE
3466,7873,1007,00:00.0,NULL,1,ALCON CANADA IN
4026,7953,1058,00:00.0,00:00.0,1,ALCON CANADA IN
4026,7954,1082,00:00.0,00:00.0,1,ALLERGAN INC
2050,7880,1090,00:00.0,00:00.0,1,ALLERGAN INC
2050,7881,1104,00:00.0,00:00.0,1,ALLERGAN INC
2050,7882,1112,00:00.0,00:00.0,1,ALLERGAN INC
7596,7940,1120,00:00.0,00:00.0,1,ALLERGAN INC
3408,7760,1147,00:00.0,NULL,1,ALLERGAN INC
5198,7822,1171,00:00.0,00:00.0,1,ALLERGAN INC
5198,7824,1198,00:00.0,00:00.0,1,ALLERGAN INC
1695,4107,1200,00:00.0,00:00.0,2,PHARMASCIENCE
5198,7826,1228,00:00.0,00:00.0,1,ALLERGAN INC
3460,7859,1279,00:00.0,00:00.0,1,ALLERGAN INC
3345,7920,1287,00:00.0,00:00.0,1,ALLERGAN INC
7596,13546,1317,00:00.0,00:00.0,1,ALLERGAN INC
4026,7953,1341,00:00.0,00:00.0,1,ALLERGAN INC
1478,3411,1686,00:00.0,00:00.0,1,ASPEN PHARMACAR
1478,3407,1694,00:00.0,NULL,1,ASPEN PHARMACAR
1478,3394,1708,00:00.0,00:00.0,1,ASTRA PHARMA
33592,60677,1724,00:00.0,00:00.0,1,ASTRAZENECA CAN
